Site	month	Aer	Ape	Bhy	Dbe	Dna	Ebi	Ffi	Hme	Bbi	Bfa	Bma	Ihe	Aar	Lgr	Lla	Lpl	Pdi	Pna	Pbo	Rab	Ric	Oca	Sfu	Sgr	Spe	Tme	Vur
north	1	0	0	0	0	4	0	0	0	2	0	3	2	0	0	1	1	0	0	0	4	2	0	0	2	5	0	0
south	1	0	0	0	1	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
north	2	0	0	3	0	0	0	6	0	1	0	7	2	0	0	0	7	0	0	0	0	4	0	0	0	3	0	0
south	2	5	0	2	1	0	0	45	2	9	1	0	0	0	0	0	0	0	10	1	0	0	0	0	0	1	0	1
north	3	0	4	0	0	0	0	8	0	1	0	5	0	0	0	0	0	0	0	8	0	9	0	1	0	1	0	0
south	3	5	0	3	0	0	0	30	0	10	0	0	9	3	0	0	0	0	8	1	0	0	0	0	0	1	0	8
north	4	0	2	0	0	0	0	1	0	5	2	1	1	5	0	0	2	0	0	0	5	5	0	0	0	4	0	0
south	4	4	0	7	0	0	0	16	3	8	4	0	0	1	8	0	0	0	10	0	0	0	1	0	0	3	0	1
north	5	0	0	0	0	2	1	2	0	4	0	4	1	2	0	0	2	0	0	1	0	5	0	0	0	12	0	0
south	5	3	0	8	0	0	0	12	0	8	1	0	1	0	0	0	0	0	20	0	0	2	1	0	0	3	0	8
north	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	20	0	0
south	6	1	0	0	0	0	0	0	1	2	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	1	6	0
north	7	0	0	0	0	0	1	0	0	14	0	6	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0
south	7	0	0	5	2	0	0	0	6	12	4	0	2	0	0	0	0	1	3	2	0	0	5	0	0	0	0	2
north	8	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
south	8	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
north	9	0	0	0	2	0	0	0	0	7	0	5	2	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0
south	9	1	0	6	1	0	0	1	1	6	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
north	10	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
south	10	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
north	11	0	0	0	1	0	0	0	0	3	0	5	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
south	11	1	0	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
north	12	0	0	0	1	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
south	12	5	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
