Site	date	Aer	Ape	Bhy	Dbe	Dna	Ebi	Ffi	Hme	Bbi	Bfa	Bma	Ihe	Aar	Lgr	Lla	Lpl	Pdi	Pna	Pbo	Rab	Ric	Oca	Sfu	Sgr	Spe	Tme	Vur
stream_north	winter	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
marsh_north	winter	0	0	0	0	4	0	0	0	2	0	2	0	0	0	1	1	0	0	0	4	2	0	0	2	5	0	0
forest_north	winter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stream_south	winter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
marsh_south	winter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
forest_south	winter	0	0	0	1	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stream_north	spring	0	0	3	0	0	0	4	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
marsh_north	spring	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	7	0	0	0	0	3	0	0	0	3	0	0
forest_north	spring	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stream_south	spring	1	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
marsh_south	spring	0	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	1	0	0
forest_south	spring	4	0	0	0	0	0	43	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stream_north	spring1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0
marsh_north	spring1	0	4	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	5	0	3	0	0	0	1	0	0
forest_north	spring1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
stream_south	spring1	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
marsh_south	spring1	0	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	1	0	0
forest_south	spring2	4	0	0	0	0	0	27	0	1	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stream_north	spring2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
marsh_north	spring2	0	2	0	0	0	0	0	0	5	2	1	0	0	0	0	2	0	0	0	1	5	0	0	0	4	0	0
forest_north	spring2	0	0	0	0	0	0	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stream_south	spring2	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
marsh_south	spring2	1	0	7	0	0	0	0	0	8	2	0	0	0	8	0	0	0	10	0	0	0	0	0	0	3	0	0
forest_south	spring2	3	0	0	0	0	0	13	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stream_north	summer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
marsh_north	summer	0	0	0	0	2	1	0	0	4	0	3	0	0	0	0	2	0	0	1	0	5	0	0	0	12	0	0
forest_north	summer	0	0	0	0	0	0	2	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stream_south	summer	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	8
marsh_south	summer	2	0	7	0	0	0	0	0	8	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	3	0	0
